Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
13152,Public Administration,strategic planning in the Nigeria public service,4hrs 7min,Stakeholders Forum on National Strategy of Public Service Reform,https://www.youtube.com/watch?v=uu-RFZWatws,Module 1: Introduction to Strategic Planning,1,12th,English/Hindi
13153,Public Administration,strategic planning in the Nigeria public service,,The Future of Strategic Planning in the Public Sector,https://www.youtube.com/watch?v=zzr94s2pZnQ,Module 1: The Future of Strategic Planning in the Public Sector,1,12th,English/Hindi
13154,Public Administration,strategic planning in the Nigeria public service,,An Introduction to Strategic Planning 1,https://www.youtube.com/watch?v=IArJqjJPTLI,Module 1: An Introduction to Strategic Planning 1,1,12th,English/Hindi
13155,Public Administration,strategic planning in the Nigeria public service,,"Keynote on Strategy By Michael Porter, Professor, Harvard Business School",https://www.youtube.com/watch?v=EvvnoNAUPS0,"Module 1: Keynote on Strategy By Michael Porter, Professor, Harvard Business School",1,12th,English/Hindi
13156,Public Administration,strategic planning in the Nigeria public service,,The steps of the strategic planning process in under 15 minutes,https://www.youtube.com/watch?v=HQ6348u6o08,Module 2: Steps in the Strategic Planning Process,2,12th,English/Hindi
13157,Public Administration,strategic planning in the Nigeria public service,,How to Build Successful Public Sector Strategies |Planning and Strategy Management| Dubai | Meirc,https://www.youtube.com/watch?v=yq9kn781joM,Module 2: The steps of the strategic planning process in under 15 minutes,2,12th,English/Hindi
13158,Public Administration,strategic planning in the Nigeria public service,,Definition of Strategy--Private/Public Sector Contrast,https://www.youtube.com/watch?v=2tLCHRT_88w,Module 2: How to Build Successful Public Sector Strategies |Planning and Strategy Management| Dubai | Meirc,2,12th,English/Hindi
13159,Public Administration,strategic planning in the Nigeria public service,,Business Morning: Analysing Nigeria's Public Sector Economy Pt 1,https://www.youtube.com/watch?v=UxKBNkLyANI,Module 2: Strategic Planning Process: How to Create a Strategic Plan,2,12th,English/Hindi
13160,Public Administration,strategic planning in the Nigeria public service,,Turning Strategy into Action in the Public Sector,https://www.youtube.com/watch?v=PL_su9yOY-Q,Module 3: Strategic Planning in the Nigerian Public Sector,3,12th,English/Hindi
13161,Public Administration,strategic planning in the Nigeria public service,,Soft Skills | Leadership VS Management | Skills training | TutorialsPoint,https://www.youtube.com/watch?v=DwwBZn5duk8,Module 3: Stakeholders Forum on National Strategy of Public Service Reform,3,12th,English/Hindi
13162,Public Administration,strategic planning in the Nigeria public service,,Strategic Management in Public Sector,https://www.youtube.com/watch?v=QJPl2ciHpKY,Module 3: Restructuring  The Public Service in Nigeria,3,12th,English/Hindi
13163,Public Administration,strategic planning in the Nigeria public service,,Strategic Planning at Public and Independent Institutions with Tom Longin,https://www.youtube.com/watch?v=lHUQNR6nRuk,Module 3: How Nigeria’s civil service will be reformed for efficiency,3,12th,English/Hindi
13164,Public Administration,strategic planning in the Nigeria public service,,HOS Signs MOU on Strategic Plan,https://www.youtube.com/watch?v=AyN6E7JLbZc,Module 4: Strategic Management in the Public Sector,4,12th,English/Hindi
13165,Public Administration,strategic planning in the Nigeria public service,,Strategic Management In Public Sector,https://www.youtube.com/watch?v=UIAcx0sGw4Y,Module 4: Definition of Strategy--Private/Public Sector Contrast,4,12th,English/Hindi
13166,Public Administration,strategic planning in the Nigeria public service,,ACCA P3 Chapter 3 Advantages and disadvantages of strategic planning,https://www.youtube.com/watch?v=PkUDCMXjp-E,Module 4: Turning Strategy into Action in the Public Sector,4,12th,English/Hindi
13167,Public Administration,strategic planning in the Nigeria public service,,City of London | Strategic Plan | Leading in Public Service,https://www.youtube.com/watch?v=K2IWXPOSV_E,Module 4: Strategic Management in Public Sector,4,12th,English/Hindi
13168,Public Administration,strategic planning in the Nigeria public service,,Strategic Planning for Government Organizations,https://www.youtube.com/watch?v=goTObIeFOeM,Module 5: Strategic Planning at Public Institutions,5,12th,English/Hindi
13169,Public Administration,strategic planning in the Nigeria public service,,Strategic Planning Process: How to Create a Strategic Plan,https://www.youtube.com/watch?v=o0UXAhzTkHE,Module 5: Strategic Planning at Public and Independent Institutions with Tom Longin,5,12th,English/Hindi
13170,Public Administration,strategic planning in the Nigeria public service,,Restructuring  The Public Service in Nigeria,https://www.youtube.com/watch?v=9Y7a8VHBFdA,Module 5: HOS Signs MOU on Strategic Plan,5,12th,English/Hindi
13171,Public Administration,strategic planning in the Nigeria public service,,How Nigeria’s civil service will be reformed for efficiency,https://www.youtube.com/watch?v=ddHEMbfX7do,Module 5: City of London | Strategic Plan | Leading in Public Service,5,12th,English/Hindi
13172,Public Administration,strategic planning in the Nigeria public service,,Buhari Meets Heads Of Service On Strategy Plan,https://www.youtube.com/watch?v=Oglyk_wa6QM,Module 6: Strategic Planning for Government Organizations,6,12th,English/Hindi
13173,Public Administration,strategic planning in the Nigeria public service,,Overview of the Strategic Planning Process,https://www.youtube.com/watch?v=s_OvXeUQV3o,Module 6: Strategic Planning for Government Organizations,6,12th,English/Hindi
13174,Public Administration,strategic planning in the Nigeria public service,,How to create your strategic plan,https://www.youtube.com/watch?v=_Q5VwDCpszY,Module 6: ACCA P3 Chapter 3 Advantages and disadvantages of strategic planning,6,12th,English/Hindi
13175,Public Administration,strategic planning in the Nigeria public service,,Strategic Planning and SWOT Analysis,https://www.youtube.com/watch?v=VTH_WsyoEeM,Module 6: Buhari Meets Heads Of Service On Strategy Plan,6,12th,English/Hindi
13176,Public Administration,strategic planning in the Nigeria public service,,6 Steps to Successful Strategic Planning,https://www.youtube.com/watch?v=Mpqf6w5iBqI,Module 7: Overview of the Strategic Planning Process,7,12th,English/Hindi
13177,Public Administration,strategic planning in the Nigeria public service,,How to Write a Great Information Technology Strategic Plan | Leadership | Vision | Tactics,https://www.youtube.com/watch?v=lnOBKhzdhS4,Module 7: Overview of the Strategic Planning Process,7,12th,English/Hindi
13178,Public Administration,strategic planning in the Nigeria public service,,What IS Strategic Planning,https://www.youtube.com/watch?v=iXzmAou_UUA,Module 7: How to create your strategic plan,7,12th,English/Hindi
13179,Public Administration,strategic planning in the Nigeria public service,,Strategic Plan Presentation,https://www.youtube.com/watch?v=3enoBhBFMrM,Module 7: Strategic Planning and SWOT Analysis,7,12th,English/Hindi
13180,Public Administration,strategic planning in the Nigeria public service,,Strategic Planning  - Strategies,https://www.youtube.com/watch?v=KXAnYWaaP0s,Module 8:  6 Steps to Successful Strategic Planning,8,12th,English/Hindi
13181,Public Administration,strategic planning in the Nigeria public service,,Challenges of Strategic Planning,https://www.youtube.com/watch?v=-VokNknGKPA,Module 8: 6 Steps to Successful Strategic Planning,8,12th,English/Hindi
13182,Public Administration,strategic planning in the Nigeria public service,,Strategic Planning Overview,https://www.youtube.com/watch?v=qCbSos76_Io,Module 8: What IS Strategic Planning,8,12th,English/Hindi
13183,Public Administration,strategic planning in the Nigeria public service,,Strategy in the Public Sector,https://www.youtube.com/watch?v=yR6k9g_NpiQ,Module 8: Strategic Plan Presentation,8,12th,English/Hindi
13184,Public Administration,strategic planning in the Nigeria public service,,CULTURAL FESTIVAL 2018,https://www.youtube.com/watch?v=xB7r-FRkJB4,Module 9: Challenges and Strategies in Strategic Planning,9,12th,English/Hindi
13185,Public Administration,strategic planning in the Nigeria public service,,NTA Live Stream,https://www.youtube.com/watch?v=9oGvR-oZUkc,Module 9: Strategic Planning  - Strategies,9,12th,English/Hindi
13186,Public Administration,strategic planning in the Nigeria public service,,Prophet Muhammad ﷺ The Greatest man of all time | A Mercy to the World,https://www.youtube.com/watch?v=kCUiY0PWuGg,Module 9: Challenges of Strategic Planning,9,12th,English/Hindi
13187,Public Administration,strategic planning in the Nigeria public service,,From Xi'an to Mecca : The Road to Hajj - China | Featured Documentary,https://www.youtube.com/watch?v=D0bvJkF0Ji8,Module 9: Strategic Planning Overview,9,12th,English/Hindi
